Sample ID,Plant,Subsp_ploidy,Year,Population,Latitude,Longitude,Ecoregion,Included in GC?,Included in LC-MS?,Included in climate and spatial analyses,Climate PERMANOVAs
IDW.1.3_2012,IDW.1.3,W_4n,2012,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,No,Yes,No
IDW.1.4_2012,IDW.1.4,W_4n,2012,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,No,Yes,No
IDW.1.4_2021,IDW.1.4,W_4n,2021,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,Yes,Yes,No
IDW.1.5_2012,IDW.1.5,W_4n,2012,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,No,Yes,No
IDW.1.5_2021,IDW.1.5,W_4n,2021,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,Yes,Yes,No
IDW.1.6_2012,IDW.1.6,W_4n,2012,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,No,Yes,No
IDW.1.6_2021,IDW.1.6,W_4n,2021,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,Yes,Yes,No
IDW.1.7_2012,IDW.1.7,W_4n,2012,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,No,Yes,No
IDW.1.7_2021,IDW.1.7,W_4n,2021,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,Yes,Yes,No
IDW.1.8_2012,IDW.1.8,W_4n,2012,Old Oregon Trail Rd,43.0931,-115.6528,Snake River Plain,Yes,No,Yes,No
IDW.2.2_2012,IDW.2.2,W_4n,2012,Orchard Enclosure ,43.3274,-116.0037,Snake River Plain,Yes,No,Yes,No
IDW.2.3_2012,IDW.2.3,W_4n,2012,Orchard Enclosure ,43.3274,-116.0037,Snake River Plain,Yes,No,Yes,No
IDW.2.3_2021,IDW.2.3,W_4n,2021,Orchard Enclosure ,43.3274,-116.0037,Snake River Plain,Yes,Yes,Yes,No
IDW.3.10_2012,IDW.3.10,W_4n,2012,Sommer Camp Rd,43.4657,-116.8531,Snake River Plain,Yes,No,Yes,No
IDW.3.10_2021,IDW.3.10,W_4n,2021,Sommer Camp Rd,43.4657,-116.8531,Snake River Plain,Yes,Yes,Yes,No
IDW.3.2_2012,IDW.3.2,W_4n,2012,Sommer Camp Rd,43.4657,-116.8531,Snake River Plain,Yes,No,Yes,No
IDW.3.4_2012,IDW.3.4,W_4n,2012,Sommer Camp Rd,43.4657,-116.8531,Snake River Plain,Yes,No,Yes,No
IDW.3.4_2021,IDW.3.4,W_4n,2021,Sommer Camp Rd,43.4657,-116.8531,Snake River Plain,Yes,Yes,Yes,No
IDW.3.6_2012,IDW.3.6,W_4n,2012,Sommer Camp Rd,43.4657,-116.8531,Snake River Plain,Yes,No,Yes,No
IDW.3.6_2021,IDW.3.6,W_4n,2021,Sommer Camp Rd,43.4657,-116.8531,Snake River Plain,Yes,Yes,Yes,No
IDW.3.8_2012,IDW.3.8,W_4n,2012,Sommer Camp Rd,43.4657,-116.8531,Snake River Plain,Yes,No,Yes,No
IDW.3.8_2021,IDW.3.8,W_4n,2021,Sommer Camp Rd,43.4657,-116.8531,Snake River Plain,Yes,Yes,Yes,No
MTT.1.6_2012,MTT.1.6,T_2n,2012,Bridger Crk,45.2056,-108.8256,Wyoming Basin,Yes,No,Yes,No
MTT.1.6_2021,MTT.1.6,T_2n,2021,Bridger Crk,45.2056,-108.8256,Wyoming Basin,No,Yes,Yes,Yes
MTV.1.10_2012,MTV.1.10,V_2n,2012,Tie Flat Rd,45.1724,-108.4559,Middle Rockies,Yes,No,No,No
MTW.1.2_2012,MTW.1.2,W_4n,2012,Powderville,45.6545,-105.1545,Northwestern Great Plains,Yes,No,Yes,No
MTW.1.2_2021,MTW.1.2,W_4n,2021,Powderville,45.6545,-105.1545,Northwestern Great Plains,Yes,Yes,Yes,No
MTW.1.7_2012,MTW.1.7,W_4n,2012,Powderville,45.6545,-105.1545,Northwestern Great Plains,Yes,No,Yes,No
MTW.3.4_2012,MTW.3.4,W_4n,2012,Pryor Mtn,45.2066,-108.7832,Wyoming Basin,Yes,No,Yes,No
MTW.3.4_2021,MTW.3.4,W_4n,2021,Pryor Mtn,45.2066,-108.7832,Wyoming Basin,Yes,Yes,Yes,No
MTW.3.7_2012,MTW.3.7,W_4n,2012,Pryor Mtn,45.2066,-108.7832,Wyoming Basin,Yes,No,Yes,No
MTW.3.7.R_2012,MTW.3.7,W_4n,2012,Pryor Mtn,45.2066,-108.7832,Wyoming Basin,Yes,No,Yes,No
MTW.3.8_2012,MTW.3.8,T_2n,2012,Pryor Mtn,45.2066,-108.7832,Wyoming Basin,Yes,No,Yes,No
NMT.1.6_2012,NMT.1.6,T_4n,2012,Penistaja,35.9802,-107.2257,Arizona/ New Mexico Plateau,Yes,No,No,No
NMT.1.6_2021,NMT.1.6,T_4n,2021,Penistaja,35.9802,-107.2257,Arizona/ New Mexico Plateau,Yes,Yes,No,No
NMT.1.9_2012,NMT.1.9,T_4n,2012,Penistaja,35.9802,-107.2257,Arizona/ New Mexico Plateau,Yes,Yes,No,No
NMT.1.9_2021,NMT.1.9,T_4n,2021,Penistaja,35.9802,-107.2257,Arizona/ New Mexico Plateau,Yes,Yes,No,No
NMT.2.3_2012,NMT.2.3,T_4n,2012,San Luis Mesa,35.7572,-107.1478,Arizona/ New Mexico Plateau,Yes,No,No,No
NMT.2.3_2021,NMT.2.3,T_4n,2021,San Luis Mesa,35.7572,-107.1478,Arizona/ New Mexico Plateau,Yes,Yes,No,No
NMT.2.4_2012,NMT.2.4,T_4n,2012,San Luis Mesa,35.7572,-107.1478,Arizona/ New Mexico Plateau,Yes,Yes,No,No
