ROW,GARDEN_PLANT_ID,2020 STATUS,PLANT_CODE,PLANT_STATE,PLANT_SPECIES,PLANT_PROVENANCE,ORIGIN_PLANT_ID,PLOIDY,TYPE OF HERBIVORY,LEVEL OF HERBIVORY,TOTAL AREA (UNITS?),VOLUME (UNITS?),VOLUME (HIGH OR LOW),90% HEIGHT (UNITS?),EXTRACTION WEIGHT (G),GC VIAL WEIGHT (G),GC WET WEIGHT (G),GC DRY AND VIAL WEIGHT (G),DRY WEIGHT (G),DRY WEIGHT (MG),% DRY WEIGHT,DRY WEIGHT OF EXTRACTED SAMPLES,UM TP,mM TP PER GRAM DRY WEIGHT (mM TP/G DW),%N,%C,TOTAL AREA UNDER THE CURVE,TOTAL # OF MONOTERPENE PEAKS,TOTAL AUC >28MIN,TOTAL AUC >28 MIN/mg DW,TOTAL # PEAKS >28MIN,"1,8 CINEOLE AUC",UNKNOWN 3.2 AUC,STATUS LIVE OR DEAD,NDVI_COUNT,NDVI_AREA,NDVI_MEAN,NDVI_MIN,NDVI_MAX,NDVI_RANGE,NDVI_STD,NDVI_SUM,THERMORIGINAL_COUNT,THERMORIGINAL_AREA,THERMORIGINAL_MEAN,THERMORIGINAL_STD,THERMAL_AREA,THERMAL_MEAN,THERMAL_STD
16,423,A,AZ'T.1.10,AZ,T,1,10,4n,galls/aphids,l,58.6268373,2438.641924,Low,41.596,0.04902,14.96483,0.05077,14.98562,0.02079,2.079,0.409493796,0.020073386,5264.90375,262.2827951,2.97,45.54,21235.9,73,21225.1778,10209.32073,71,2047.07324,869.01819,.,89,0.930864608,0.132816703,0,0.259911895,0.259911895,0.082256069,11.82068658,46,0.93172919,15231.13043,237.747364,0.93172919,14896.1087,328.1175709
16,425,D,MT'W.3.8,MT,W,3,8,4n,.,m,23.28933529,773.6950077,Low,33.221,0.04999,14.91919,0.04956,14.93913,0.01994,1.994,0.402340597,0.020113006,1928.645,95.89043807,3,45.37,37134.3,66,37126.72549,18619.22041,65,10296.3,536.23395,.,51,0.533416798,0.075450488,0,0.142857149,0.142857149,0.040453956,3.847974889,26,0.526629542,15093.57692,320.354752,0.526629542,15161.38462,249.0662681
16,429,A,IDT.1.4,ID,T,1,4,2n,.,l,1263.647993,86923.81813,High,68.788,0.05009,14.90797,0.05083,14.92341,0.01544,1.544,0.303757623,0.015215219,2686.41625,176.5611252,4.01,45.1,15400.9,59,15400.9,9974.676166,59,779.17334,0,.,184,1.924484134,0.125662996,-0.03508772,0.261410803,0.296498522,0.069637204,23.12199125,96,1.94447831,15204.70833,422.9013606,1.94447831,14458.07292,301.8038907
16,436,D,WA'W.1.4,WA,W,1,4,4n,aphids,h,881.1823821,32985.30011,High,37.433,0.05214,14.92266,0.05185,14.94405,0.02139,2.139,0.412536162,0.021509635,3612.435,167.944966,3.81,44.54,37656.6,75,37620.7889,17588.0266,73,6904.60107,971.44281,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,441,A,IDT.3.9,ID,T,3,9,2n,.,m,123.1833751,4354.285942,Low,35.348,0.05135,14.89103,0.04904,14.91077,0.01974,1.974,0.402528548,0.020669841,2650.765,128.2431252,4.13,45.62,36819.8,75,36809.74618,18647.28783,73,2206.38062,899.93317,.,71,0.742599856,0.1406647,-0.004081632,0.237113401,0.241195034,0.058065317,9.987193669,39,0.789944314,14921.30769,154.3084081,0.789944314,14886.38462,443.6539779
17,442,D,CO'W.1.7,CO,W,1,7,4n,aphids,n,51.78221631,1725.072754,Low,33.314,0.04981,14.92331,0.04968,14.9452,0.02189,2.189,0.440619968,0.021947281,2785.98,126.9396447,3.3,43.4,39195.1,67,39184.31659,17900.55577,65,9412.14844,756.33203,.,32,0.334692893,0.001365815,-0.049019609,0.059999999,0.109019607,0.020817017,-0.043706088,17,0.344334701,14976.05882,165.6599886,0.344334701,14659.52941,198.4365709
17,450,A,NVT*W.1.10,NV,T,1,10,2n,.,l,44.25846518,902.518622,Low,20.392,0.05001,15.03595,0.05159,15.05395,0.018,1.8,0.348904827,0.01744873,2730.0425,156.4608107,3.04,43.34,34557.7,75,34557.67719,19198.70955,75,1375.41931,1217.19092,.,72,0.753059009,0.153632278,0.024875622,0.277027041,0.252151418,0.066609138,11.06152401,35,0.708924384,15222.2,481.1519392,0.708924384,14833.4,255.5940084
17,456,D,IDV.5.7,ID,V,5,7,2n,.,n,450.6346391,21914.81313,High,48.631,0.04964,14.86197,0.05121,14.88039,0.01842,1.842,0.359695372,0.017855278,2381.05875,133.3532144,1.72,45.43,17649.7,68,17588.85172,9548.779435,66,85.23443,382.06027,.,70,0.732140703,0.017479219,-0.015037594,0.05319149,0.068229085,0.01594815,1.22354536,36,0.729179366,14226.27778,189.892164,0.729179366,15110.02778,136.3002173
17,458,D,CAV.2.6,CA,V,2,6,2n,aphids,n,70.46112804,1098.066219,Low,15.584,0.05146,14.87973,0.04978,14.90173,0.022,2.2,0.441944556,0.022742467,3506.0825,154.1645646,3.09,42.92,20357.9,64,20357.90286,9253.592209,64,6158.31104,477.71027,.,33,0.345152046,0.085384837,0.022421524,0.253521115,0.231099591,0.06270063,2.817699635,17,0.344334701,15203.88235,134.0188232,0.344334701,15107.05882,166.9823769
17,459,D,IDV.3.4,ID,V,3,4,2n,.,n,67.98786071,2482.71271,Low,36.517,0.05018,14.8394,0.05163,14.86333,0.02393,2.393,0.463490219,0.023257939,3475.4225,149.4295119,2.64,44.59,43612,66,43600.46955,18220.00399,64,10458.6,601.21234,.,66,0.690304091,0.043811683,0,0.111111112,0.111111112,0.025217951,2.891571085,32,0.648159437,14853.96875,256.6028649,0.648159437,15349.4375,83.8070468
17,466,A,CAT.2.4,CA,T,2,4,2n,ant,h,99.47293192,3648.368724,Low,36.677,0.05033,15.00281,0.05057,15.02152,0.01871,1.871,0.369982203,0.018621204,1659.04375,89.0943317,3.34,42.6,20772.5,78,20767.61612,11099.74138,77,3054.69482,657.75507,.,125,1.307394113,0.311740905,0.016806724,0.311740905,0.294934182,0.083581633,19.13074203,66,1.336828838,15489.48485,138.2442111,1.336828838,14663.72727,353.4380725
