"C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073","C074"
NA,1022.986,1137.044,NA,NA,NA,NA,NA,NA,509.792,NA,261.468,NA,NA,NA,3331.467,NA,NA,NA,182.212,NA,6892.299,NA,NA,2875.998,391.359,NA,142.393,NA,NA,255.805,NA,14361.198,NA,NA,NA,NA,104.508,120.759,NA,139.068,115.728,NA,445.475,437.124,NA,NA,NA,210.584,NA,119.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644.963,NA,105.558,180.889,NA,NA,NA,NA,NA,NA
NA,2486.525,4215.557,NA,NA,753.567,412.382,NA,NA,606.746,NA,NA,1091.288,NA,NA,248.552,NA,NA,508.787,291.539,NA,2119.49,NA,NA,6135.95,353.996,NA,NA,211.052,246.05,362.404,NA,NA,NA,NA,NA,NA,133.994,131.569,1058.216,195.327,132.326,NA,771.742,236.707,178.6,126.9,NA,NA,79.212,270.178,90.833,219.859,205.946,NA,NA,392.638,NA,NA,NA,NA,NA,NA,NA,591.416,NA,396.663,251.882,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,464.936,NA,527.58,583.418,NA,NA,1076.116,NA,NA,NA,135.825,NA,4201.215,NA,NA,NA,718.804,128.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.996,5737.262,NA,NA,163.475,NA,248.209,427.464,293.669,97.995,NA,273.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732.698,NA,NA,549.873,NA,NA,NA,NA,NA,NA
NA,1013.283,910.08,NA,NA,NA,NA,NA,NA,1687.362,NA,421.17,1424.939,NA,NA,4009.599,NA,NA,NA,NA,NA,2091.774,NA,NA,NA,606.821,NA,108.562,121.316,NA,NA,NA,NA,NA,NA,NA,NA,586.384,5047.77,NA,147.711,80.362,NA,122.652,155.831,88.525,NA,NA,760.618,110.739,160.697,NA,NA,89.053,NA,NA,55.818,NA,120.633,NA,NA,NA,NA,NA,283.415,NA,NA,102.725,NA,NA,NA,NA,NA,NA
NA,770.886,811.592,NA,NA,NA,NA,NA,NA,400.15,NA,NA,NA,NA,NA,1466.994,NA,NA,NA,NA,NA,736.276,NA,NA,1147.914,568.921,NA,NA,179.355,185.942,NA,NA,NA,NA,NA,NA,NA,423.362,NA,NA,220.389,NA,NA,NA,NA,NA,NA,NA,134.591,NA,95.507,NA,NA,94.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.049,NA,140.032,281.535,NA,NA,NA,NA,NA,NA
NA,927.466,1287.518,NA,NA,NA,NA,NA,NA,548.985,NA,NA,778.592,151.573,NA,2254.016,NA,NA,NA,NA,NA,1091.742,NA,NA,2392.607,1094.026,NA,935.105,115.724,NA,NA,NA,NA,NA,NA,NA,NA,744.274,116.824,NA,143.778,NA,NA,NA,89.216,NA,NA,NA,189.63,57.757,159.595,NA,NA,NA,116.315,NA,NA,NA,NA,NA,NA,NA,75.597,NA,160.798,NA,58.848,152.136,345.111,148.925,NA,NA,NA,NA
NA,NA,944.269,NA,NA,NA,NA,NA,NA,1109.255,NA,657.941,807.619,NA,NA,2294.53,NA,NA,NA,196.408,NA,5592.756,NA,NA,248.111,1718.468,NA,210.043,154.816,NA,NA,NA,NA,NA,138.801,NA,NA,358.079,7375.787,NA,172.568,188.22,NA,305.002,574.224,193.371,NA,NA,163.73,NA,131.129,NA,NA,71.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1276.036,66.673,NA,386.672,NA,NA,NA,NA,NA,NA
NA,NA,1215.686,NA,NA,NA,NA,NA,NA,691.879,NA,192.716,1354.982,NA,NA,5362.771,NA,NA,NA,134.986,NA,5753.872,NA,NA,253.452,902.054,NA,NA,83.868,88.404,NA,85.228,NA,NA,NA,NA,NA,2059.291,6534.94,NA,353.732,101.755,128.385,161.494,512.417,NA,NA,NA,429.107,77.588,117.6,NA,NA,140.801,NA,NA,NA,NA,NA,NA,NA,NA,139.287,NA,372.57,NA,175.591,116.713,NA,NA,NA,NA,NA,NA
NA,457.876,849.655,NA,NA,NA,NA,NA,NA,372.948,NA,NA,307.254,1511.161,NA,2992.439,NA,NA,1760.535,129.313,NA,5491.396,NA,NA,954.275,NA,10302.708,586.041,97.643,91.609,3350.363,NA,NA,NA,NA,NA,NA,1293.031,872.784,NA,269.58,NA,NA,3477.293,455.788,151.69,NA,NA,263.457,NA,70.575,NA,NA,74.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.267,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3754.036,NA,NA,674.304,293.607,NA,NA,1019.862,NA,NA,247.971,NA,NA,400.238,NA,NA,649.961,191.044,NA,2650.865,NA,NA,7297.314,419.844,NA,342.156,341.462,NA,601.24,NA,NA,135.467,NA,NA,138.175,142.871,100.127,1325.566,177.317,78.285,NA,4170.171,282.172,NA,91.572,NA,NA,94.535,405.265,NA,161.334,279.738,NA,NA,197.779,NA,NA,NA,NA,NA,NA,NA,221.854,NA,268.162,122.916,NA,NA,NA,NA,NA,NA
NA,316.133,3039.178,NA,NA,NA,NA,NA,NA,635.822,NA,NA,1274.823,NA,NA,645.065,NA,NA,682.707,244.599,NA,1348.896,NA,NA,4045.603,195.786,NA,NA,880.646,711.938,491.374,NA,NA,199.17,159.189,NA,NA,172.411,93.833,647.498,311.292,75.383,NA,3009.958,188.637,160.148,122.912,NA,471.704,73.817,178.651,NA,198.68,78.5,NA,NA,498.036,NA,NA,NA,NA,NA,NA,NA,385.035,NA,NA,79.545,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,546.501,NA,NA,729.979,NA,NA,666.245,NA,NA,NA,159.084,NA,4292.028,NA,NA,NA,254.516,NA,NA,NA,NA,NA,7885.747,NA,NA,1047.257,NA,NA,NA,2870.647,NA,1457.842,NA,NA,409.695,429.706,NA,NA,NA,NA,70.885,NA,NA,NA,1035.403,NA,NA,NA,NA,NA,NA,90.255,NA,NA,NA,348.431,NA,NA,280.577,NA,NA,NA,NA,NA,NA
NA,633.061,3086.591,NA,NA,545.142,NA,NA,NA,2281.717,NA,197.13,977.469,NA,NA,5502.897,NA,NA,272.704,181.094,NA,4746.065,NA,NA,2232.258,1101.74,NA,NA,442.108,366.913,128.906,111.05,NA,117.84,173.429,NA,NA,2117.48,5493.289,510.066,340.467,NA,120.522,375.267,389.993,NA,151.486,106.909,411.895,114.33,295.598,NA,NA,146.745,NA,NA,125.328,NA,NA,NA,NA,NA,70.696,NA,380.452,NA,NA,148.499,NA,NA,NA,NA,NA,NA
NA,6653.789,2983.99,NA,NA,829.473,350.568,NA,NA,1366.966,NA,424.308,1771.555,NA,NA,5550.375,NA,NA,204.323,129.41,NA,3446.385,NA,NA,2933.658,NA,NA,NA,286.355,416.499,458.646,266.31,NA,NA,176.661,NA,NA,4482.632,9002.069,358.505,296.714,181.473,NA,1810.721,309.302,NA,NA,100.438,225.58,451.633,1927.54,53.451,NA,678.044,NA,86.873,793.18,NA,NA,NA,NA,NA,325.771,NA,933.609,NA,1064.044,494.02,NA,NA,NA,NA,NA,NA
NA,399.753,1596.315,NA,NA,NA,NA,NA,NA,313.48,NA,NA,1370.219,2313.761,NA,1088.011,NA,NA,NA,145.96,NA,4114.135,NA,NA,2054.18,371.383,NA,962.757,95.651,NA,NA,NA,NA,NA,NA,NA,NA,439.193,5160.686,193.627,127.353,NA,NA,228.307,319.239,NA,NA,NA,319.773,NA,52.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.112,NA,211.287,NA,123.796,406.217,123.574,NA,NA,NA,NA,NA
NA,487.048,1527.64,NA,NA,508.691,NA,NA,NA,272.705,NA,NA,1459.202,NA,NA,1650.501,NA,NA,147.026,NA,NA,393.546,NA,NA,1038.409,537.053,NA,119.322,106.097,NA,NA,NA,NA,NA,NA,NA,NA,840.887,6587.942,172.1,NA,121.581,272.723,NA,NA,NA,NA,NA,NA,NA,106.679,NA,NA,104.204,NA,NA,98.971,NA,NA,NA,NA,NA,219.17,NA,870.176,69.411,368.119,1122.458,NA,NA,NA,NA,NA,NA
NA,528.136,1616.041,NA,NA,NA,NA,NA,NA,766.749,NA,NA,499.752,481.176,NA,4077.057,NA,NA,NA,119.99,NA,4841.937,NA,NA,303.699,1008.181,NA,337.374,142.151,NA,205.999,NA,NA,NA,NA,NA,NA,1258.377,1789.649,NA,265.713,NA,NA,577.026,406.946,NA,NA,NA,335.284,95.488,199.636,NA,NA,NA,153.415,NA,54.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
