"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)","effective_species","cluster_assignments"
"ORT.2.4_2012",TRUE,380,"A","OCG","OR","T","2012","ORT.2.4","2n","T_2n",NA,NA,NA,NA,24.6,"ORT.2.4_2012","ORT-2","Echo",45.7589,-119.2076,223,49,1
"ORT.2.4_2021",TRUE,380,"","OCG","OR","T","2021","ORT.2.4","2n","T_2n",NA,NA,NA,NA,65.4,"ORT.2.4_2021","ORT-2","Echo",45.7589,-119.2076,223,45,4
"ORT.2.5_2012",TRUE,248,"A","OCG","OR","T","2012","ORT.2.5","2n","T_2n",NA,NA,NA,NA,28.1,"ORT.2.5_2012","ORT-2","Echo",45.7589,-119.2076,223,45,1
"ORT.2.5_2021",TRUE,248,"","OCG","OR","T","2021","ORT.2.5","2n","T_2n",NA,NA,NA,NA,65.2,"ORT.2.5_2021","ORT-2","Echo",45.7589,-119.2076,223,45,1
"ORT.2.6_2012",FALSE,42,"A","OCG","OR","T","2012","ORT.2.6","2n","T_2n",NA,NA,NA,NA,17.7,"ORT.2.6_2012","ORT-2","Echo",45.7589,-119.2076,223,40,2
"ORT.2.9_2012",TRUE,181,"A","OCG","OR","T","2012","ORT.2.9","2n","T_2n",NA,NA,NA,NA,35.3,"ORT.2.9_2012","ORT-2","Echo",45.7589,-119.2076,223,49,1
"ORT.2.9_2021",TRUE,181,"","OCG","OR","T","2021","ORT.2.9","2n","T_2n",NA,NA,NA,NA,42.9,"ORT.2.9_2021","ORT-2","Echo",45.7589,-119.2076,223,48,4
"ORT.3.1_2012",FALSE,391,"D","OCG","OR","T","2012","ORT.3.1","2n","T_2n",NA,NA,NA,NA,103.5,"ORT.3.1_2012","ORT-3","Beatty Butte T",42.3263,-119.3665,1782,38,2
"ORT.3.10_2012",FALSE,219,"D","OCG","OR","T","2012","ORT.3.10","2n","T_2n",NA,NA,NA,NA,60.4,"ORT.3.10_2012","ORT-3","Beatty Butte T",42.3263,-119.3665,1782,31,2
"ORT.3.5_2012",FALSE,244,"D","OCG","OR","T","2012","ORT.3.5","2n","T_2n",NA,NA,NA,NA,47.9,"ORT.3.5_2012","ORT-3","Beatty Butte T",42.3263,-119.3665,1782,40,2
"ORW.1.1_2021",TRUE,57,"","OCG","OR","W","2021","ORW.1.1","4n","W_4n",NA,NA,NA,NA,47.1,"ORW.1.1_2021","ORW-1","West of Juntura",43.7853,-118.2594,1196,66,4
"UTT.1.1_2021",TRUE,333,"","OCG","UT","T","2021","UTT.1.1","2n","T_2n",NA,NA,NA,NA,65.9,"UTT.1.1_2021","UTT-1","Canyon B",37.9933,-112.5087,2106,32,2
"UTT.1.5_2021",TRUE,25,"","OCG","UT","T","2021","UTT.1.5","2n","T_2n",NA,NA,NA,NA,17.1,"UTT.1.5_2021","UTT-1","Canyon B",37.9933,-112.5087,2106,31,2
"UTT.1.9_2012",TRUE,194,"A","OCG","UT","T","2012","UTT.1.9","2n","T_2n",NA,NA,NA,NA,46.4,"UTT.1.9_2012","UTT-1","Canyon B",37.9933,-112.5087,2106,32,2
"UTT.1.9_2021",TRUE,194,"","OCG","UT","T","2021","UTT.1.9","2n","T_2n",NA,NA,NA,NA,48.7,"UTT.1.9_2021","UTT-1","Canyon B",37.9933,-112.5087,2106,36,2
"UTT.2.3_2012",FALSE,251,"D","OCG","UT","T","2012","UTT.2.3","2n","T_2n",NA,NA,NA,NA,17.9,"UTT.2.3_2012","UTT-2","La Sal B",38.306,-109.3876,1820,33,2
"UTT.3.10_2012",FALSE,338,"A","OCG","UT","T","2012","UTT.3.10","2n","T_2n",NA,NA,NA,NA,40.9,"UTT.3.10_2012","UTT-3","Kanab",37.0402,-112.2642,1618,35,2
"UTT.3.3_2012",FALSE,409,"D","OCG","UT","T","2012","UTT.3.3","2n","T_2n",NA,NA,NA,NA,24.5,"UTT.3.3_2012","UTT-3","Kanab",37.0402,-112.2642,1618,34,2
"UTV.3.5_2021",TRUE,6,"","OCG","UT","V","2021","UTV.3.5","4n","V_4n",NA,NA,NA,NA,58.5,"UTV.3.5_2021","UTV-3","La Sal V",38.3413,-109.2173,2326,44,5
"UTW.1.1_2021",TRUE,296,"","OCG","UT","W","2021","UTW.1.1","4n","W_4n",NA,NA,NA,NA,NA,"UTW.1.1_2021","UTW-1","La Sal W",38.3279,-109.4352,1797,69,5
"UTW.1.10_2021",TRUE,272,"","OCG","UT","W","2021","UTW.1.10","4n","W_4n",NA,NA,NA,NA,77,"UTW.1.10_2021","UTW-1","La Sal W",38.3279,-109.4352,1797,64,5
"UTW.1.4_2021",TRUE,405,"","OCG","UT","W","2021","UTW.1.4","4n","W_4n",NA,NA,NA,NA,73.5,"UTW.1.4_2021","UTW-1","La Sal W",38.3279,-109.4352,1797,62,5
"UTW.2.3_2021",TRUE,343,"","OCG","UT","W","2021","UTW.2.3","4n","W_4n",NA,NA,NA,NA,88.4,"UTW.2.3_2021","UTW-2","Scooby",41.8566,-113.049,1438,55,2
"UTWV.2.1_2021",TRUE,189,"","OCG","UT","W","2021","UTWV.2.1","4n","W_4n",NA,NA,NA,NA,65.7,"UTWV.2.1_2021","UTV-2","Canyon V",37.9933,-112.5087,2118,54,3
"UTWV.2.10_2021",TRUE,56,"","OCG","UT","W","2021","UTWV.2.10","4n","W_4n",NA,NA,NA,NA,36.2,"UTWV.2.10_2021","UTV-2","Canyon V",37.9933,-112.5087,2118,77,3
"UTWV.2.6_2021",TRUE,80,"","OCG","UT","W","2021","UTWV.2.6","4n","W_4n",NA,NA,NA,NA,25.1,"UTWV.2.6_2021","UTV-2","Canyon V",37.9933,-112.5087,2118,67,3
"UTWV.2.7_2021",TRUE,271,"","OCG","UT","W","2021","UTWV.2.7","4n","W_4n",NA,NA,NA,NA,100.7,"UTWV.2.7_2021","UTV-2","Canyon V",37.9933,-112.5087,2118,59,3
"UTWV.2.8_2021",TRUE,216,"","OCG","UT","W","2021","UTWV.2.8","4n","W_4n",NA,NA,NA,NA,87.4,"UTWV.2.8_2021","UTV-2","Canyon V",37.9933,-112.5087,2118,76,3
"WAT.1.3_2012",TRUE,349,"A","OCG","WA","T","2012","WAT.1.3","2n","T_2n",NA,NA,NA,NA,30.7,"WAT.1.3_2012","WAT-1","Lind",46.7419,-118.2278,329,46,1
"WAT.1.3_2021",TRUE,349,"","OCG","WA","T","2021","WAT.1.3","2n","T_2n",NA,NA,NA,NA,103.3,"WAT.1.3_2021","WAT-1","Lind",46.7419,-118.2278,329,41,2
"WAT.1.6_2012",TRUE,192,"A","OCG","WA","T","2012","WAT.1.6","2n","T_2n",NA,NA,NA,NA,20.2,"WAT.1.6_2012","WAT-1","Lind",46.7419,-118.2278,329,48,1
"WAT.1.6_2021",TRUE,192,"","OCG","WA","T","2021","WAT.1.6","2n","T_2n",NA,NA,NA,NA,27,"WAT.1.6_2021","WAT-1","Lind",46.7419,-118.2278,329,47,4
"WAT.2.1_2012",TRUE,158,"A","OCG","WA","T","2012","WAT.2.1","4n","T_4n",NA,NA,NA,NA,66.2,"WAT.2.1_2012","WAT-2","Crab Creek",46.9488,-119.2371,312,34,2
"WAT.2.1_2021",TRUE,158,"","OCG","WA","T","2021","WAT.2.1","4n","T_4n",NA,NA,NA,NA,146.7,"WAT.2.1_2021","WAT-2","Crab Creek",46.9488,-119.2371,312,39,4
"WAT.2.10_2012",FALSE,100,"D","OCG","WA","T","2012","WAT.2.10","4n","T_4n",NA,NA,NA,NA,34.9,"WAT.2.10_2012","WAT-2","Crab Creek",46.9488,-119.2371,312,34,2
"WAT.2.4_2021",TRUE,268,"","OCG","WA","T","2021","WAT.2.4","4n","T_4n",NA,NA,NA,NA,43.5,"WAT.2.4_2021","WAT-2","Crab Creek",46.9488,-119.2371,312,31,2
"WAT.2.7_2012",FALSE,282,"D","OCG","WA","T","2012","WAT.2.7","4n","T_4n",NA,NA,NA,NA,71.1,"WAT.2.7_2012","WAT-2","Crab Creek",46.9488,-119.2371,312,32,2
"WAT.2.8_2021",TRUE,64,"","OCG","WA","T","2021","WAT.2.8","4n","T_4n",NA,NA,NA,NA,114.6,"WAT.2.8_2021","WAT-2","Crab Creek",46.9488,-119.2371,312,51,4
"WAT.2.9_2012",TRUE,169,"A","OCG","WA","T","2012","WAT.2.9","4n","T_4n",NA,NA,NA,NA,20.9,"WAT.2.9_2012","WAT-2","Crab Creek",46.9488,-119.2371,312,40,2
"WAT.2.9_2021",TRUE,169,"","OCG","WA","T","2021","WAT.2.9","4n","T_4n",NA,NA,NA,NA,63.2,"WAT.2.9_2021","WAT-2","Crab Creek",46.9488,-119.2371,312,49,4
"WAW.1.2_2021",TRUE,418,"","OCG","WA","W","2021","WAW.1.2","4n","W_4n",NA,NA,NA,NA,130.6,"WAW.1.2_2021","WAW-1","Saddle Mtn",46.7672,-119.4727,297,33,2
"WAW.1.3_2021",TRUE,356,"","OCG","WA","W","2021","WAW.1.3","4n","W_4n",NA,NA,NA,NA,117.6,"WAW.1.3_2021","WAW-1","Saddle Mtn",46.7672,-119.4727,297,32,2
"WAW.1.6_2021",TRUE,135,"","OCG","WA","W","2021","WAW.1.6","4n","W_4n",NA,NA,NA,NA,65.4,"WAW.1.6_2021","WAW-1","Saddle Mtn",46.7672,-119.4727,297,37,2
