"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)"
"IDV.5.7_2012",FALSE,456,"D","OCG","ID","V","2012","IDV.5.7","2n","V_2n",NA,NA,NA,NA,17.6,"IDV.5.7_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309
"IDV.5.8_2012",FALSE,102,"A","OCG","ID","V","2012","IDV.5.8","2n","V_2n",NA,NA,NA,NA,24.9,"IDV.5.8_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309
"IDV.5.9_2012",FALSE,193,"D","OCG","ID","V","2012","IDV.5.9","2n","V_2n",NA,NA,NA,NA,24.7,"IDV.5.9_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309
"IDW.1.2_2021",TRUE,387,"","OCG","ID","W","2021","IDW.1.2","4n","W_4n",NA,NA,NA,NA,42,"IDW.1.2_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963
"IDW.1.3_2012",FALSE,71,"D","OCG","ID","W","2012","IDW.1.3","4n","W_4n",NA,NA,NA,NA,15.4,"IDW.1.3_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963
"IDW.1.4_2012",TRUE,347,"A","OCG","ID","W","2012","IDW.1.4","4n","W_4n",NA,NA,NA,NA,28.1,"IDW.1.4_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963
"IDW.1.4_2021",TRUE,347,"","OCG","ID","W","2021","IDW.1.4","4n","W_4n",NA,NA,NA,NA,76.8,"IDW.1.4_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963
"IDW.1.5_2012",TRUE,262,"A","OCG","ID","W","2012","IDW.1.5","4n","W_4n",NA,NA,NA,NA,18.1,"IDW.1.5_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963
"IDW.1.5_2021",TRUE,262,"","OCG","ID","W","2021","IDW.1.5","4n","W_4n",NA,NA,NA,NA,67.2,"IDW.1.5_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963
"IDW.1.6_2021",TRUE,392,"","OCG","ID","W","2021","IDW.1.6","4n","W_4n",NA,NA,NA,NA,73.8,"IDW.1.6_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963
"IDW.1.7_2012",TRUE,63,"A","OCG","ID","W","2012","IDW.1.7","4n","W_4n",NA,NA,NA,NA,9.4,"IDW.1.7_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963
"IDW.1.7_2021",TRUE,63,"","OCG","ID","W","2021","IDW.1.7","4n","W_4n",NA,NA,NA,NA,86.2,"IDW.1.7_2021","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963
"IDW.1.8_2012",FALSE,101,"D","OCG","ID","W","2012","IDW.1.8","4n","W_4n",NA,NA,NA,NA,19.2,"IDW.1.8_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963
"IDW.2.2_2012",FALSE,357,"A","OCG","ID","W","2012","IDW.2.2","4n","W_4n",NA,NA,NA,NA,21.5,"IDW.2.2_2012","IDW-2","Orchard Enclosure ",43.3274,-116.0037,977
"IDW.2.3_2021",TRUE,60,"","OCG","ID","W","2021","IDW.2.3","4n","W_4n",NA,NA,NA,NA,155.5,"IDW.2.3_2021","IDW-2","Orchard Enclosure ",43.3274,-116.0037,977
"IDW.3.10_2012",TRUE,233,"A","OCG","ID","W","2012","IDW.3.10","4n","W_4n",NA,NA,NA,NA,13.1,"IDW.3.10_2012","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870
"IDW.3.10_2021",TRUE,233,"","OCG","ID","W","2021","IDW.3.10","4n","W_4n",NA,NA,NA,NA,69.2,"IDW.3.10_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870
"IDW.3.2_2012",FALSE,235,"D","OCG","ID","W","2012","IDW.3.2","4n","W_4n",NA,NA,NA,NA,24.3,"IDW.3.2_2012","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870
"IDW.3.4_2012",TRUE,372,"A","OCG","ID","W","2012","IDW.3.4","4n","W_4n",NA,NA,NA,NA,14.4,"IDW.3.4_2012","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870
"IDW.3.4_2021",TRUE,372,"","OCG","ID","W","2021","IDW.3.4","4n","W_4n",NA,NA,NA,NA,49.5,"IDW.3.4_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870
"IDW.3.6_2012",TRUE,70,"A","OCG","ID","W","2012","IDW.3.6","4n","W_4n",NA,NA,NA,NA,10.1,"IDW.3.6_2012","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870
"IDW.3.6_2021",TRUE,70,"","OCG","ID","W","2021","IDW.3.6","4n","W_4n",NA,NA,NA,NA,51.3,"IDW.3.6_2021","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870
"IDW.3.8_2012",TRUE,93,"A","OCG","ID","W","2012","IDW.3.8","4n","W_4n",NA,NA,NA,NA,26.3,"IDW.3.8_2012","IDW-3","Sommer Camp Rd",43.4657,-116.8531,870
"MTT.1.6_2012",TRUE,172,"A","OCG","MT","T","2012","MTT.1.6","2n","T_2n",NA,NA,NA,NA,18.2,"MTT.1.6_2012","MTT-1","Bridger Crk",45.2056,-108.8256,1240
