"","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073"
"MTW.3.4_2021",1848.741,152.221,0,379.38,0,0,409.576,0,0,292.679,557.066,0,0,0,0,0,277.767,112.827,4890.814,147.877,0,424.553,0,0,812.063,134.014,149.956,0,0,0,106.554,0,0,0,1321.156,1377.346,103.718,169.705,683.069,0,383.181,0,0,0,0,0,0,0,0,0,0,0,90.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTW.3.7_2012",0,1334.606,0,0,0,0,0,0,593.614,0,0,365.499,0,0,2704.303,0,0,0,0,0,2907.841,0,0,248.377,895.865,0,0,294.57,223.251,0,0,0,0,151.864,0,134.625,931.291,2449.259,0,324.207,107.412,0,0,218.41,0,0,0,153.208,76.427,112.43,0,0,206.497,0,0,0,0,0,0,0,0,180.923,0,130.746,0,0,116.814,0,0,0,0,0,0
"MTW.3.8_2012",577.865,2055.48,0,0,549.316,0,0,0,801.553,0,505.818,1390.965,0,0,4775.893,0,0,0,242.943,150.432,10226.738,159.614,0,166.158,919.689,0,170.338,171.491,0,106.82,0,0,0,0,0,0,1784.351,6443.212,0,282.863,330.538,85.743,254.293,825.88,125.296,0,0,395.168,101.54,150.417,0,0,163.76,0,0,0,0,0,0,0,0,0,0,0,0,0,68.881,0,0,0,0,0,0
"NMT.1.6_2012",304.31,3359.454,0,0,605.935,269.343,0,0,1077.184,0,0,250.058,0,0,2266.901,0,0,285.779,0,0,1943.918,0,0,1597.903,776.844,0,199.035,151.86,0,261.251,0,0,125.341,0,0,0,882.718,398.304,0,138.081,0,0,935.948,189.564,0,0,0,685.723,110.572,149.802,0,0,0,81.857,0,55.584,0,0,0,0,0,93.717,0,112.423,0,0,129.592,0,0,0,0,0,0
"NMT.1.6_2021",2737.233,137.376,0,0,0,0,425.832,0,0,0,135.67,0,0,0,0,0,266.962,0,1214.072,0,0,0,0,0,875.124,131.306,302.578,0,0,0,95.315,0,0,0,791.96,2081.204,330.626,72.471,940.644,0,159.266,0,0,142.741,0,0,0,0,132.551,0,0,0,0,0,0,0,0,0,0,105.365,0,0,0,0,0,0,0,0,0,0,0,0,0
"NMT.1.9_2012",454.882,1405.298,0,0,453.921,0,0,0,524.647,0,0,0,0,0,2332.473,0,0,161.228,0,0,1546.407,0,0,1221.468,570.238,0,229.637,197.485,0,0,0,0,115.607,0,0,135.402,998.387,299.619,331.207,0,0,118.401,0,142.968,0,0,0,196.683,104.714,282.543,0,0,222.235,0,0,53.712,0,0,0,0,0,334.834,0,229.475,0,0,657.104,0,0,0,0,0,0
"NMT.1.9_2021",2315.351,125.069,0,1068.185,0,0,261.924,0,0,0,97.543,0,0,0,0,0,335.659,101.324,2787.727,0,0,0,0,0,549.442,366.918,126.632,0,0,0,155.408,0,0,0,1295.976,1310.44,492.162,443.872,117.758,0,201.962,0,0,0,0,115.926,0,0,113.597,0,0,0,0,0,0,0,0,0,0,529.513,0,0,0,0,0,0,0,0,0,0,0,0,0
"NMT.2.3_2012",363.502,2630.05,0,0,665.854,337.212,0,0,363.963,0,0,696.536,0,0,1023.007,0,0,265.606,179.368,0,3758.795,0,0,2621.813,699.167,0,0,129.689,108.117,136.669,0,0,0,0,0,148.936,511.946,86.237,598.924,170.999,89.568,0,186.528,281.984,0,0,0,162.05,91.637,197.393,0,108.495,147.462,0,0,55.544,0,0,0,0,0,508.416,0,331.006,0,87.971,1140.459,0,0,0,0,0,0
"NMT.2.3_2021",3689.593,188.875,0,0,0,0,193.627,0,0,0,975.169,0,0,0,0,0,429.666,117.4,2650.747,0,0,0,0,0,260.09,121.834,156.445,0,0,0,0,0,0,0,553.133,3627.05,652.815,70.108,144.222,0,154.991,0,0,0,0,0,0,0,110.449,0,0,0,0,0,0,0,0,0,0,538.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"NMT.2.4_2012",580.138,2028.279,0,0,0,0,0,0,361.491,0,0,785.957,0,0,3265.328,0,0,0,0,0,4273.656,0,0,465.324,256.325,0,198.117,160.535,0,0,82.74,0,0,0,0,138.574,1179.191,306.987,0,187.746,0,151.194,0,349.171,0,0,0,598.792,111.021,89.599,0,0,0,0,0,72.717,0,0,0,0,0,345.767,0,382.58,0,0,289.394,0,0,0,0,0,0
