"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)","cluster_assignments"
"NMT.1.6_2012",TRUE,190,"A","OCG","NM","T","2012","NMT.1.6","4n","T_4n",NA,NA,NA,NA,60.7,"NMT.1.6_2012","NMT-1","Penistaja",35.9802,-107.2257,2122,5
"NMT.1.9_2012",TRUE,113,"A","OCG","NM","T","2012","NMT.1.9","4n","T_4n",NA,NA,NA,NA,43,"NMT.1.9_2012","NMT-1","Penistaja",35.9802,-107.2257,2122,5
"NMT.2.3_2012",TRUE,53,"A","OCG","NM","T","2012","NMT.2.3","4n","T_4n",NA,NA,NA,NA,NA,"NMT.2.3_2012","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,5
"NMT.2.4_2012",TRUE,201,"A","OCG","NM","T","2012","NMT.2.4","4n","T_4n",NA,NA,NA,NA,59.5,"NMT.2.4_2012","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,5
"NMT.2.5_2012",TRUE,23,"A","OCG","NM","T","2012","NMT.2.5","4n","T_4n",NA,NA,NA,NA,13,"NMT.2.5_2012","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,5
"NMT.2.6_2012",TRUE,99,"A","OCG","NM","T","2012","NMT.2.6","4n","T_4n",NA,NA,NA,NA,NA,"NMT.2.6_2012","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,5
"NMT.2.8_2012",TRUE,164,"A","OCG","NM","T","2012","NMT.2.8","4n","T_4n",NA,NA,NA,NA,47.7,"NMT.2.8_2012","NMT-2","San Luis Mesa",35.7572,-107.1478,1979,5
"NVT.1.6_2012",FALSE,302,"D","OCG","NV","T","2012","NVT.1.6","2n","T_2n",NA,NA,NA,NA,23.9,"NVT.1.6_2012","NVT-2","Currant B",38.7971,-115.3921,1797,2
"NVT.2.8_2012",FALSE,321,"D","OCG","NV","T","2012","NVT.2.8","2n","T_2n",NA,NA,NA,NA,31.3,"NVT.2.8_2012","NVT-2","Currant B",38.7971,-115.3921,1797,2
"NVTW.1.10_2012",TRUE,450,"A","OCG","NV","T","2012","NVTW.1.10","2n","T_2n",NA,NA,NA,NA,78.9,"NVTW.1.10_2012","NVV-1","Austin",39.4728,-117.0497,2412,3
"NVTW.1.3_2012",FALSE,234,"D","OCG","NV","T","2012","NVTW.1.3","2n","T_2n",NA,NA,NA,NA,50.3,"NVTW.1.3_2012","NVV-1","Austin",39.4728,-117.0497,2412,3
"NVTW.1.6_2012",FALSE,147,"D","OCG","NV","T","2012","NVTW.1.6","2n","T_2n",NA,NA,NA,NA,NA,"NVTW.1.6_2012","NVV-1","Austin",39.4728,-117.0497,2412,3
"NVV.2.5_2012",TRUE,205,"A","OCG","NV","V","2012","NVV.2.5","2n","V_2n",NA,NA,NA,NA,16.3,"NVV.2.5_2012","NVV-2","Currant V",38.8183,-115.2835,2132,1
"NVV.2.9_2012",FALSE,150,"D","OCG","NV","V","2012","NVV.2.9","2n","V_2n",NA,NA,NA,NA,16.9,"NVV.2.9_2012","NVV-2","Currant V",38.8183,-115.2835,2132,1
"NVV.3.4_2012",FALSE,220,"D","OCG","NV","V","2012","NVV.3.4","4n","V_4n",NA,NA,NA,NA,28.5,"NVV.3.4_2012","NVV-3","Robber's Roost",36.3046,-115.6168,2410,4
"NVV.3.5_2012",FALSE,290,"D","OCG","NV","V","2012","NVV.3.5","4n","V_4n",NA,NA,NA,NA,21.6,"NVV.3.5_2012","NVV-3","Robber's Roost",36.3046,-115.6168,2410,4
"ORT.1.1_2012",TRUE,208,"A","OCG","OR","T","2012","ORT.1.1","2n","T_2n",NA,NA,NA,NA,51.4,"ORT.1.1_2012","ORT-1","Jordan Valley",42.9745,-117.1854,1349,5
"ORT.1.6_2012",TRUE,394,"A","OCG","OR","T","2012","ORT.1.6","2n","T_2n",NA,NA,NA,NA,33.8,"ORT.1.6_2012","ORT-1","Jordan Valley",42.9745,-117.1854,1349,3
"ORT.1.8_2012",FALSE,141,"D","OCG","OR","T","2012","ORT.1.8","2n","T_2n",NA,NA,NA,NA,NA,"ORT.1.8_2012","ORT-1","Jordan Valley",42.9745,-117.1854,1349,3
"ORT.1.9_2012",TRUE,381,"A","OCG","OR","T","2012","ORT.1.9","2n","T_2n",NA,NA,NA,NA,31,"ORT.1.9_2012","ORT-1","Jordan Valley",42.9745,-117.1854,1349,3
"ORT.2.3_2012",TRUE,91,"A","OCG","OR","T","2012","ORT.2.3","2n","T_2n",NA,NA,NA,NA,38.6,"ORT.2.3_2012","ORT-2","Echo",45.7589,-119.2076,223,3
"ORT.2.4_2012",TRUE,380,"A","OCG","OR","T","2012","ORT.2.4","2n","T_2n",NA,NA,NA,NA,24.6,"ORT.2.4_2012","ORT-2","Echo",45.7589,-119.2076,223,5
"ORT.2.5_2012",TRUE,248,"A","OCG","OR","T","2012","ORT.2.5","2n","T_2n",NA,NA,NA,NA,28.1,"ORT.2.5_2012","ORT-2","Echo",45.7589,-119.2076,223,3
"ORT.2.6_2012",FALSE,42,"A","OCG","OR","T","2012","ORT.2.6","2n","T_2n",NA,NA,NA,NA,17.7,"ORT.2.6_2012","ORT-2","Echo",45.7589,-119.2076,223,5
"ORT.2.9_2012",TRUE,181,"A","OCG","OR","T","2012","ORT.2.9","2n","T_2n",NA,NA,NA,NA,35.3,"ORT.2.9_2012","ORT-2","Echo",45.7589,-119.2076,223,3
"ORT.3.1_2012",FALSE,391,"D","OCG","OR","T","2012","ORT.3.1","2n","T_2n",NA,NA,NA,NA,103.5,"ORT.3.1_2012","ORT-3","Beatty Butte T",42.3263,-119.3665,1782,2
"ORT.3.10_2012",FALSE,219,"D","OCG","OR","T","2012","ORT.3.10","2n","T_2n",NA,NA,NA,NA,60.4,"ORT.3.10_2012","ORT-3","Beatty Butte T",42.3263,-119.3665,1782,2
"ORT.3.5_2012",FALSE,244,"D","OCG","OR","T","2012","ORT.3.5","2n","T_2n",NA,NA,NA,NA,47.9,"ORT.3.5_2012","ORT-3","Beatty Butte T",42.3263,-119.3665,1782,2
"ORT.3.7_2012",FALSE,31,"D","OCG","OR","T","2012","ORT.3.7","2n","T_2n",NA,NA,NA,NA,14.8,"ORT.3.7_2012","ORT-3","Beatty Butte T",42.3263,-119.3665,1782,2
"ORTW.2.1_2012",FALSE,15,"D","OCG","OR","T","2012","ORTW.2.1","2n","T_2n",NA,NA,NA,NA,15.2,"ORTW.2.1_2012","ORW-2","Beatty Butte W",42.3166,-119.3928,1707,2
"ORV.1.1_2012",FALSE,212,"D","OCG","OR","V","2012","ORV.1.1","4n","V_4n",NA,NA,NA,NA,13.5,"ORV.1.1_2012","ORV-1","Lookout Mtn",44.4883,-117.3233,986,5
